Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,CapEx / (Depr + Amor),Current Ratio,Debt Ratio,Dividends / FCF,Dummy_Dividends,Gross Profit Margin,Interest Coverage,Inventory Turnover,Log Revenue,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,Return on Assets,Return on Equity,Return on Research Capital,Share Buyback / FCF,tweet_polarity,tweet_subjectivity,RSI_ratio,MACD,p_diff
2021/11/27,219.9909108,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.051667471,0.340129422,0.774933711,-4.638139381,0.18620694
2021/11/28,221.3961894,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.063022703,0.379075452,0.738731197,-4.535476457,0.219775274
2021/11/29,222.8014679,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.062730755,0.370806819,0.613877813,-2.149748914,-0.004632423
2021/11/30,221.2965088,-1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.075276598,0.337771347,0.694559804,-1.77671292,0.199995077
2021/12/1,218.9244995,-1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.060020201,0.336527241,0.691035407,-0.989247714,-0.202671173
2021/12/2,222.4426727,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.057656564,0.342624912,0.829737106,-1.224090768,-0.039380691
2021/12/3,222.5821991,0,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.070573218,0.345085527,1.076646826,-1.339245307,0.224027462
2021/12/4,222.4626007,0,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.062211569,0.354565352,1.363655417,-2.114180633,-0.118481898
2021/12/5,222.3430023,0,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.051089134,0.376633968,1.307754576,-2.131964773,-0.178784024
2021/12/6,222.2234039,0,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.057360761,0.35807413,0.771545328,-1.275616773,0.122758515
