,Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,Current Ratio,Debt Ratio,Gross Profit Margin,Inventory Turnover,MACD,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,RSI_ratio,Return on Assets,Return on Equity,Share Buyback / FCF
19,2021-01-20,600.8099976,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.5303139684828257,1.0,0.0,0.4617113995940065,0.4737885350462223,0.26044419044056794,1.0000000000000002,1.0,0.0
20,2021-01-21,589.1900024,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.5963817207676689,1.0,0.0,0.4617113995940065,0.4737885350462223,0.25164806036570003,1.0000000000000002,1.0,0.0
21,2021-01-22,594.8300171,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.6134855168457543,1.0,0.0,0.4617113995940065,0.4737885350462223,0.3751526003203004,1.0000000000000002,1.0,0.0
22,2021-01-23,592.666687,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.6252436108250026,1.0,0.0,0.4617113995940065,0.4737885350462223,0.3392667188362941,1.0000000000000002,1.0,0.0
23,2021-01-24,590.503357,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.637001704804251,1.0,0.0,0.4617113995940065,0.4737885350462223,0.3033808377617477,1.0000000000000002,1.0,0.0
24,2021-01-25,588.3400268999999,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.6487597988022742,1.0,0.0,0.4617113995940065,0.4737885350462223,0.26749495627774145,1.0000000000000002,1.0,0.0
25,2021-01-26,570.7600097999999,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.7365414379458002,1.0,0.0,0.4617113995940065,0.4737885350462223,0.096113892762674,1.0000000000000002,1.0,0.0
26,2021-01-27,547.0100097999999,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.8754281482186461,1.0,0.0,0.4617113995940065,0.4737885350462223,0.09078934194691753,1.0000000000000002,1.0,0.0
27,2021-01-28,566.4400024,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.8694444440173181,1.0,0.0,0.4617113995940065,0.4737885350462223,0.3931185156587224,1.0000000000000002,1.0,0.0
28,2021-01-29,573.7700195,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.8265303138006175,1.0,0.0,0.4617113995940065,0.4737885350462223,0.4624431961553776,1.0000000000000002,1.0,0.0
29,2021-01-30,579.7400106,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.7918465265445644,1.0,0.0,0.4617113995940065,0.4737885350462223,0.4819067790404768,1.0000000000000002,1.0,0.0
30,2021-01-31,585.7100015999999,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.7571627393448359,1.0,0.0,0.4617113995940065,0.4737885350462223,0.5013703623350362,1.0000000000000002,1.0,0.0
31,2021-02-01,591.6799927000001,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.7224789521451074,1.0,0.0,0.4617113995940065,0.4737885350462223,0.5208339452201354,1.0000000000000002,1.0,0.0
32,2021-02-02,596.6400146000001,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.6377522789459776,1.0,0.0,0.4617113995940065,0.4737885350462223,0.6284595965142902,1.0000000000000002,1.0,0.0
33,2021-02-03,591.3699951,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.6078425301547316,1.0,0.0,0.4617113995940065,0.4737885350462223,0.8375075005191687,1.0000000000000002,1.0,0.0
34,2021-02-04,605.0100097999999,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.5371906174631562,1.0,0.0,0.4617113995940065,0.4737885350462223,0.7280650886737939,1.0000000000000002,1.0,0.0
35,2021-02-05,616.4799805,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.4542042090422619,1.0,0.0,0.4617113995940065,0.4737885350462223,0.6483716769170434,1.0000000000000002,1.0,0.0
36,2021-02-06,620.5466512,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.4243444566068029,1.0,0.0,0.4617113995940065,0.4737885350462223,0.6416845246712762,1.0000000000000002,1.0,0.0
37,2021-02-07,624.6133219999999,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.3944847041713441,1.0,0.0,0.4617113995940065,0.4737885350462223,0.634997372016049,1.0000000000000002,1.0,0.0
38,2021-02-08,628.6799927000001,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.36462495179220944,1.0,0.0,0.4617113995940065,0.4737885350462223,0.6283102197702818,1.0000000000000002,1.0,0.0
39,2021-02-09,636.460022,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.29222071100078123,1.0,0.0,0.4617113995940065,0.4737885350462223,0.6328025504864376,1.0000000000000002,1.0,0.0
40,2021-02-10,631.9199829,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.2810409417784088,1.0,0.0,0.4617113995940065,0.4737885350462223,0.6286921104281447,1.0000000000000002,1.0,0.0
41,2021-02-11,643.8099976,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.24177655512807944,1.0,0.0,0.4617113995940065,0.4737885350462223,0.5609212848090891,1.0000000000000002,1.0,0.0
42,2021-02-12,662.3499756,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.16175474169540527,1.0,0.0,0.4617113995940065,0.4737885350462223,0.5486029739976409,1.0000000000000002,1.0,0.0
43,2021-02-13,659.1674805,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.16721648355405344,1.0,0.0,0.4617113995940065,0.4737885350462223,0.517932469416443,1.0000000000000002,1.0,0.0
