,Report Date,Stock price,Y_boolean,CapEx / (Depr + Amor),Current Ratio,Debt Ratio,Interest Coverage,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,tweet_subjectivity
83,2020-08-23,155.7159576,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4121525089119063
84,2020-08-24,155.1846771,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.7116704490480439
85,2020-08-25,156.9864197,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.26136833632142586
86,2020-08-26,158.154541,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5187673124938827
87,2020-08-27,158.006073,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4397493919122821
88,2020-08-28,158.39215090000002,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.2728201928900997
89,2020-08-29,158.4251506,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5655003201690549
90,2020-08-30,158.45815019999998,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.689966469968998
91,2020-08-31,158.4911499,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.7623552567037191
92,2020-09-01,160.421524,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5152419343697856
93,2020-09-02,163.66859440000002,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.7632737848509352
94,2020-09-03,157.2042236,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6641699663460905
95,2020-09-04,155.6598969,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.7232769745428467
96,2020-09-05,154.73676310000002,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5504281503088144
97,2020-09-06,153.81362919999998,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5238195821270102
98,2020-09-07,152.89049540000002,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6178447177813382
99,2020-09-08,151.9673615,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.3492261559665941
100,2020-09-09,157.3131104,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6081169357399006
101,2020-09-10,156.5112457,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4695477330779161
102,2020-09-11,156.9963074,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6906680173457493
103,2020-09-12,157.7453766,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5613665624687663
104,2020-09-13,158.49444580000002,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6167184510575883
105,2020-09-14,159.243515,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6331458346210246
106,2020-09-15,160.64923100000001,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6361034339647187
107,2020-09-16,159.6295929,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4865305238533884
108,2020-09-17,158.8574219,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5162476634274444
109,2020-09-18,159.25340269999998,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4816308314919739
110,2020-09-19,159.2864075,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6171799608221775
111,2020-09-20,159.3194122,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.7078591628440192
112,2020-09-21,159.352417,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4709492226082608
113,2020-09-22,159.8869629,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6823581986399772
114,2020-09-23,157.7288818,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.8050258012868632
115,2020-09-24,156.3924561,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4302982108993421
116,2020-09-25,159.2236938,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.8384219826198755
117,2020-09-26,159.38209530000003,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5223662065956578
118,2020-09-27,159.5404968,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5163554890232893
119,2020-09-28,159.6988983,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.41224202847802
120,2020-09-29,160.8472137,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4756820528333092
121,2020-09-30,163.7081604,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.12997730246885908
122,2020-10-01,162.3816528,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.6732640581714708
123,2020-10-02,161.9064636,0,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.4106876698172064
124,2020-10-03,161.8734639,0,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.5593328582305173
125,2020-10-04,161.8404643,0,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.7138583519955386
126,2020-10-05,161.8074646,0,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.7882484466466302
127,2020-10-06,159.8968964,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.3987867399098102
128,2020-10-07,158.3030396,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.5003791569523637
129,2020-10-08,161.5302887,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.3074534175590138
130,2020-10-09,163.7675781,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.5150051720614375
131,2020-10-10,164.7971293,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.5048877423668063
132,2020-10-11,165.82668049999998,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.6083481365175158
133,2020-10-12,166.85623169999997,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.502052496699239
134,2020-10-13,163.6586761,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.2017326422031518
135,2020-10-14,162.01538090000003,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.3995194999590419
136,2020-10-15,161.3521118,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.5843280960684876
137,2020-10-16,161.9064636,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.3717159809596531
138,2020-10-17,160.7317301,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.5174225084196387
139,2020-10-18,159.55699669999998,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.7566029638451209
140,2020-10-19,158.3822632,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.8454617455216056
141,2020-10-20,158.28311159999998,0,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.6972628253600863
142,2020-10-21,159.76000980000003,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.29121533682737955
143,2020-10-22,160.9494324,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.5225742856740734
144,2020-10-23,162.0496674,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.17359959845423756
145,2020-10-24,161.0551656,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.3594303163547856
146,2020-10-25,160.0606639,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.4595891394038691
147,2020-10-26,159.0661621,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.3811609842955983
148,2020-10-27,161.0386353,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.21379402956866397
149,2020-10-28,157.29194640000003,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.621527391560365
150,2020-10-29,159.7699127,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.6067838384446338
151,2020-10-30,157.153183,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.3987379670688629
152,2020-10-31,158.5870972,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.4373369522954267
153,2020-11-01,160.02101130000003,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.3915835361049061
154,2020-11-02,161.4549255,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.4163936057767801
155,2020-11-03,161.7027435,0,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.5149734567433208
156,2020-11-04,172.8139801,1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.30246498392150034
157,2020-11-05,169.3943481,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.2180220576470333
158,2020-11-06,167.7589111,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.3503017041243597
159,2020-11-07,166.42080180000002,-1,0.13204755723398387,1.0,1.0,0.3698180735125076,0.5821156746967566,1.0,0.4334232808079346,0.5572331576605478,0.213798537165002
