,Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,CapEx / (Depr + Amor),Current Ratio,Debt Ratio,Dividends / FCF,Dummy_Dividends,Gross Profit Margin,Interest Coverage,Inventory Turnover,Log Revenue,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,Return on Assets,Return on Equity,Return on Research Capital,Share Buyback / FCF,tweet_polarity,tweet_subjectivity,RSI_ratio,MACD,p_diff,s_diff
622,2021/11/14,215.5989991,0,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.53768204,0.502879675,0.254504424,0.130218145,0.167573928,0.475837608
623,2021/11/15,215.3365479,0,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.5896172,0.717555798,0.221838158,0.222663768,0.201008285,0.660261958
624,2021/11/16,219.442749,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.672518771,0.575178502,0.245608833,0.197960347,0.204157117,0.346505602
625,2021/11/17,221.1270752,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.803241499,0.622513238,0.377050232,0.171571271,0.207455621,0.505989901
626,2021/11/18,224.7848053,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.55390248,0.436595005,0.432209276,0.124595121,0.170149374,0.303792768
627,2021/11/19,225.671814,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.649880525,0.263521173,0.448254645,0.096635531,0.207539974,0.300934527
628,2021/11/20,224.9774831,-1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.820030875,0.429120975,0.246830176,0.206991502,0.213078288,0.63535176
629,2021/11/21,224.2831523,-1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,1,0.886076851,0.270019,0.214827635,0.207920547,0.897007117
630,2021/11/22,223.5888214,-1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.72930532,0.586590807,0.395299058,0.112093478,0.174431219,0.233691841
631,2021/11/23,222.9111023,-1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.824841095,0.632922364,0.321835134,0.137490899,0.202127499,0.50488716
632,2021/11/24,222.4227448,0,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.60457241,0.574666125,0.265912591,0.165641568,0.173453893,0.414199941
633,2021/11/25,220.5041885,-1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.657377914,0.518303978,0.166273244,0.197499874,0.199569138,0.414502553
634,2021/11/26,218.5856323,-1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.488349829,0.463050872,0.066633897,0.22935818,0.172127724,0.414155804
635,2021/11/27,219.9909108,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.535900944,0.459363049,0.244701563,0.10178818,0.201808576,0.460800001
636,2021/11/28,221.3961894,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.602474861,0.690017255,0.233269861,0.106940829,0.203513211,0.679402057
637,2021/11/29,222.8014679,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.600763216,0.641047052,0.193844788,0.226680424,0.192117556,0.42324497
638,2021/11/30,221.2965088,-1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.674317496,0.445397571,0.219321818,0.245403089,0.202508752,0.296819953
639,2021/12/1,218.9244995,-1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.58487167,0.438029471,0.218208915,0.284925944,0.182060942,0.457312545
640,2021/12/2,222.4426727,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.571014043,0.474142354,0.262006884,0.273139179,0.190353002,0.498282807
641,2021/12/3,222.5821991,0,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.646742328,0.488715116,0.339973804,0.267359576,0.203729142,0.477729273
642,2021/12/4,222.4626007,0,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.597719312,0.544858489,0.430602783,0.228465595,0.186336161,0.515855662
643,2021/12/5,222.3430023,0,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.532510246,0.675557795,0.412950921,0.227573009,0.183273957,0.581194039
644,2021/12/6,222.2234039,0,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.569279797,0.565638897,0.24363161,0.27055309,0.198586599,0.371633375
645,2021/12/7,224.9442596,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.65590202,0.525982217,0.340718285,0.246538104,0.2054328,0.429093744
